# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
6.548181818181817881e+00 1.873817422860386760e+47 1.803861943592610635e+41 4.927568563666985342e+45 3.641490339239751735e-05 6.447887488329304775e-45
6.638989898989898997e+00 2.080567538217179938e+47 1.717424709478926866e+41 4.809511413052984543e+45 3.551687434152543357e-05 4.363893736936797520e-45
6.729797979797980112e+00 2.310129700083176798e+47 1.632523889752286202e+41 4.690616787350888323e+45 3.461259607058342862e-05 2.953453933805584948e-45
6.820606060606060339e+00 2.565020905680029990e+47 1.549393024836964407e+41 4.571156469349868410e+45 3.370417474141077511e-05 1.998875608576717570e-45
6.911414141414141454e+00 2.848035868435793115e+47 1.468236326417094164e+41 4.451386892933205311e+45 3.279361479658624891e-05 1.352823113991840353e-45
7.002222222222222570e+00 3.162277660168379348e+47 1.389229596485432696e+41 4.331548652467659824e+45 3.188281768887795613e-05 9.155794600761086178e-46
7.093030303030302797e+00 3.511191734215141585e+47 1.312521382443450393e+41 4.211866250334252952e+45 3.097358118802274638e-05 6.196563672236592942e-46
7.183838383838383912e+00 3.898603702549095645e+47 1.238234354872971967e+41 4.092548180716154311e+45 3.006759922174449489e-05 4.193780426620670263e-46
7.274646464646464139e+00 4.328761281083097120e+47 1.166466891011841665e+41 3.973787452152691051e+45 2.916646220842620781e-05 2.838313671793848954e-46
7.365454545454545254e+00 4.806380863064369565e+47 1.097294839895226154e+41 3.855762638635784515e+45 2.827165783959861844e-05 1.920945489672232845e-46
7.456262626262626370e+00 5.336699231206301329e+47 1.030773435005542712e+41 3.738639514632928895e+45 2.738457227138741364e-05 1.300078749853219914e-46
7.547070707070706597e+00 5.925530975545687032e+47 9.669393083222154179e+40 3.622573271833452110e+45 2.650649168520976902e-05 8.798816393310631112e-47
7.637878787878787712e+00 6.579332246575709189e+47 9.058125478372717382e+40 3.507711237869890899e+45 2.563860417933339859e-05 5.954959814984170917e-47
7.728686868686868827e+00 7.305271542664508780e+47 8.473987313732342773e+40 3.394195928947313126e+45 2.478200195435545754e-05 4.030263154845054813e-47
7.819494949494949054e+00 8.111308307896823340e+47 7.916908654306086196e+40 3.282168184212240286e+45 2.393768375721592797e-05 2.727645748222334522e-47
7.910303030303030170e+00 9.006280202112758107e+47 7.386711607537105155e+40 3.171770068519496946e+45 2.310655755000135138e-05 1.846046016068301697e-47
8.001111111111111285e+00 1.000000000000000044e+48 6.883125870144469131e+40 3.063147210115591043e+45 2.228944337149364602e-05 1.249387266765090861e-47
8.091919191919192400e+00 1.110336318167641204e+48 6.405801663608261650e+40 2.956450272257971242e+45 2.148707636117542876e-05 8.455740107060482110e-48
8.182727272727273515e+00 1.232846739442073414e+48 5.954319865995365386e+40 2.851835342213983177e+45 2.070010991717353979e-05 5.722768463378509010e-48
8.273535353535352854e+00 1.368874509537093246e+48 5.528199353079328660e+40 2.749463141080894594e+45 1.992911896141263207e-05 3.873117951339065245e-48
8.364343434343433970e+00 1.519911082952926810e+48 5.126901721646652740e+40 2.649497083173576229e+45 1.917460328703901766e-05 2.621291204474455264e-48
8.455151515151515085e+00 1.687612475788145318e+48 4.749833660115559061e+40 2.552100308006607899e+45 1.843699096494546546e-05 1.774066180425133106e-48
8.545959595959596200e+00 1.873817422860386679e+48 4.396347264418063868e+40 2.457431841521923059e+45 1.771664178797298334e-05 1.200671945383405077e-48
8.636767676767677315e+00 2.080567538217180100e+48 4.065738610048531009e+40 2.365642006775737529e+45 1.701385073308250585e-05 8.126039127002071033e-49
8.727575757575758431e+00 2.310129700083139073e+48 3.757244939286634981e+40 2.276867117036569315e+45 1.632885142345355070e-05 5.499629779928021758e-49
8.818383838383837769e+00 2.565020905680029990e+48 3.470040948156310176e+40 2.191223392087000131e+45 1.566181957408996822e-05 3.722099689082986745e-49
8.909191919191918885e+00 2.848035868435793115e+48 3.203234861981617229e+40 2.108800000029434599e+45 1.501287640607402649e-05 2.519083401479961803e-49
9.000000000000000000e+00 3.162277660168379267e+48 2.955865219530795205e+40 2.029651190802716514e+45 1.438209201611549015e-05 1.704892859644930962e-49
