# 46<log(Lx)<46.75, 46.75<log(Lx)<47.5, 47.5<log(Lx)<48.5, 46<log(Lx)<48.5, L_x, Z_list
1.619195734260478821e+04,2.196844728426469260e+02,3.011787760690568305e+00,1.641465360320812397e+04,6.579332246575709189e+47,6.548181818181817881e+00
1.418974157516956075e+04,1.925193948694017081e+02,2.639365220766122899e+00,1.438490033525972831e+04,6.973235676546012879e+47,6.638989898989898997e+00
1.239721659653577262e+04,1.681993020222315067e+02,2.305946308504504216e+00,1.256772184486650804e+04,7.390722033525835610e+47,6.729797979797980112e+00
1.079877794866319164e+04,1.465124770978475510e+02,2.008628464278503944e+00,1.094729905422531738e+04,7.833203223083827805e+47,6.820606060606060339e+00
9.378880958329231362e+03,1.272480171399485158e+02,1.744520291467066775e+00,9.507873495760648439e+03,8.302175681319702012e+47,6.911414141414141454e+00
8.122278244963553334e+03,1.101990531611599380e+02,1.510785697577267550e+00,8.233988083822290719e+03,8.799225435691038917e+47,7.002222222222222570e+00
7.014210081834913581e+03,9.516533248166211933e+01,1.304679297091769108e+00,7.110680093613667850e+03,9.326033468832180935e+47,7.093030303030302797e+00
6.040551920283059189e+03,8.195522021148107683e+01,1.123573851004203705e+00,6.123630714345544220e+03,9.884381403503330135e+47,7.183838383838383912e+00
5.187923607962165988e+03,7.038718106257886120e+01,9.649805818804031432e-01,5.259275769606625545e+03,1.047615752789666208e+48,7.274646464646464139e+00
4.443764953027321098e+03,6.029080456547775668e+01,8.265632291753080008e-01,4.504882320821973735e+03,1.110336318167641204e+48,7.365454545454545254e+00
3.796382256570901973e+03,5.150743639823563313e+01,7.061467045050054958e-01,3.848595839673642786e+03,1.176811952435003930e+48,7.456262626262626370e+00
3.234970277779284061e+03,4.389047639881354712e+01,6.017211772791440927e-01,3.279462475355376682e+03,1.247267470886053166e+48,7.547070707070706597e+00
2.749613841005378617e+03,3.730540036903892798e+01,5.114423736246942465e-01,2.787430683748042156e+03,1.321941148466039488e+48,7.637878787878787712e+00
